Número de Ticket;Creado;Estado;Propietario;Asunto
202606124700105;12/6/2026;abierto;victor.freire;[Ticket#202606124700105] SOLICITUD DE APOYO PARA REVISION DEL REPOSITORIO ALFRESCO
202606114700044;11/6/2026;Cerrado con exito;victor.freire;"Re: [Ticket#202606114700044] Convocatoria a Comité Técnico de Normalización ""Inteligencia artificial"""
202606094700151;9/6/2026;abierto;victor.freire;[Ticket#202606094700151] REVISION INFORME: Información del expediente de gestión del Contrato No.LPI-DIGERCIC-02-2019 (SEDIP) [...]
202606094700129;9/6/2026;abierto;victor.freire;[Ticket#202606094700129] CAPACITACIÓN MANTENIMIENTO Y SOPORTE TÉCNICO OTOBO
202606084700207;8/6/2026;Cerrado con exito;victor.freire;Re: [Ticket#202606084700207] REVISAR INFORME GESTIÓN DGTI
202606084700204;8/6/2026;Cerrado con exito;victor.freire;Re: [Ticket#202606084700204] RV: Comunicación de Resultados Provisionales 0032-0001-DNA1-2026-CRP
202606084700202;8/6/2026;Cerrado con exito;victor.freire;Re: [Ticket#202606084700202] RV: Comunicación de Resultados Provisionales 0029-0001-DNA1-2026-CRP
202606044700131;4/6/2026;Cerrado con exito;victor.freire;Re: [Ticket#202606044700131] RV: Comunicación de Resultados Provisionales 0027-0001-DNA1-2026-CRP
202606024700178;2/6/2026;Cerrado con exito;victor.freire;Re: [Ticket#202606024700178] REALIZACIÓN INFORME CRITICIDAD SERVICIO DE SEGURIDAD PERIMETRAL EQUIPOS Y LICENCIAMIENTO TIPO FIREWA [...]
202606024700175;2/6/2026;Cerrado con exito;victor.freire;Re: [Ticket#202606024700175] REALIZACIÓN PERFIL PROYECTO FORMATO MINTEL SERVICIO DE SEGURIDAD PERIMETRAL EQUIPOS Y LICENCIAMIENTO [...]
202606024700173;2/6/2026;Cerrado con exito;victor.freire;Re: [Ticket#202606024700173] POSTULACION GOB. EC ERVICIO DE SEGURIDAD PERIMETRAL EQUIPOS Y LICENCIAMIENTO TIPO FIREWALL PARA LOS  [...]
202606014700106;1/6/2026;Cerrado con exito;victor.freire;Re: [Ticket#202606014700106] REVISAR PLAN DE ACCION RECOMENDACION 24 SEDIP
202605224700098;22/5/2026;Cerrado con exito;victor.freire;Re: [Ticket#202605224700098] RV: Comunicación de Resultados Provisionales 0015-0001-DNA1-2026-CRP
202605224700097;22/5/2026;Cerrado con exito;victor.freire;Re: [Ticket#202605224700097] RV: Comunicación de Resultados Provisionales 0017-0001-DNA1-2026-CRP
202605214700149;21/5/2026;Cerrado con exito;victor.freire;Re: [Ticket#202605214700149] — REALIZACION PERFIL PROYECTO CONTRATACIÓN DEL SERVICIO DE ARRENDAMIENTO DE EQUIPOS MULTIFUNCIÓN (IM [...]
202605214700147;21/5/2026;Cerrado con exito;victor.freire;Re: [Ticket#202605214700147] — POSTULACION CTI CONTRATACIÓN DEL SERVICIO DE ARRENDAMIENTO DE EQUIPOS MULTIFUNCIÓN (IMPRESORAS Y E [...]
202605194700110;19/5/2026;Cerrado con exito;santiago.puga;Atendido con éxito
